M2	R2	Per	Sep	logJ	logjtot	logMLR2	zeta	logT2	log(g2)	logL2	Pdot	logt	BMag	VMag	RMag	IMag	JMag	HMag	KMag	SpT
Msun	Rsun	h	Rsun	[10-7J.s]	[10-7N.m]	[Msun/yr]	 	[K]	[cm2/s]	[10-7W]	s/s	[yr]	mag	mag	mag	mag	mag	mag	mag	
------	------	------	------	------	------	---------	------	------	------	------	---------	--------	-----	-----	-----	-----	-----	-----	-----	----
 0.200	 0.229	2.2452	 0.852	50.934	34.178	         	 0.770	 3.517	 5.019	31.327	-4.25e-13	 8.79593	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2462	 0.852	50.934	34.177	         	 0.770	 3.517	 5.019	31.327	-4.25e-13	 8.79575	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2472	 0.853	50.934	34.177	         	 0.770	 3.517	 5.019	31.327	-4.24e-13	 8.79556	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2482	 0.853	50.934	34.176	         	 0.770	 3.517	 5.019	31.327	-4.24e-13	 8.79537	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2492	 0.853	50.934	34.176	         	 0.770	 3.517	 5.019	31.327	-4.23e-13	 8.79519	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2502	 0.853	50.934	34.175	         	 0.770	 3.517	 5.019	31.327	-4.23e-13	 8.79500	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2512	 0.854	50.935	34.175	         	 0.770	 3.517	 5.019	31.327	-4.23e-13	 8.79481	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2522	 0.854	50.935	34.174	         	 0.770	 3.517	 5.019	31.327	-4.23e-13	 8.79462	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2532	 0.854	50.935	34.174	         	 0.770	 3.517	 5.019	31.327	-4.22e-13	 8.79443	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2542	 0.854	50.935	34.174	         	 0.770	 3.517	 5.019	31.327	-4.22e-13	 8.79425	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2552	 0.855	50.935	34.173	         	 0.770	 3.517	 5.019	31.327	-4.22e-13	 8.79406	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2562	 0.855	50.935	34.173	         	 0.770	 3.517	 5.019	31.327	-4.21e-13	 8.79387	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2572	 0.855	50.935	34.172	         	 0.770	 3.517	 5.019	31.327	-4.21e-13	 8.79368	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2582	 0.855	50.935	34.172	         	 0.770	 3.517	 5.019	31.327	-4.21e-13	 8.79349	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2592	 0.856	50.935	34.171	         	 0.770	 3.517	 5.019	31.327	-4.20e-13	 8.79330	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2602	 0.856	50.935	34.171	         	 0.770	 3.517	 5.019	31.327	-4.20e-13	 8.79311	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2612	 0.856	50.935	34.170	         	 0.770	 3.517	 5.019	31.327	-4.20e-13	 8.79292	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2622	 0.856	50.935	34.170	         	 0.770	 3.517	 5.019	31.327	-4.19e-13	 8.79273	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2632	 0.857	50.935	34.169	         	 0.770	 3.517	 5.019	31.327	-4.19e-13	 8.79254	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2642	 0.857	50.935	34.169	         	 0.770	 3.517	 5.019	31.327	-4.19e-13	 8.79235	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2652	 0.857	50.935	34.169	         	 0.770	 3.517	 5.019	31.327	-4.19e-13	 8.79216	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2662	 0.858	50.935	34.168	         	 0.770	 3.517	 5.019	31.327	-4.18e-13	 8.79197	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2672	 0.858	50.936	34.168	         	 0.770	 3.517	 5.019	31.327	-4.18e-13	 8.79178	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2682	 0.858	50.936	34.167	         	 0.770	 3.517	 5.019	31.327	-4.18e-13	 8.79158	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2692	 0.858	50.936	34.167	         	 0.770	 3.517	 5.019	31.327	-4.17e-13	 8.79139	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2702	 0.859	50.936	34.166	         	 0.770	 3.517	 5.019	31.327	-4.17e-13	 8.79120	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2712	 0.859	50.936	34.166	         	 0.770	 3.517	 5.019	31.327	-4.17e-13	 8.79101	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2722	 0.859	50.936	34.165	         	 0.770	 3.517	 5.019	31.327	-4.16e-13	 8.79082	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2732	 0.859	50.936	34.165	         	 0.770	 3.517	 5.019	31.327	-4.16e-13	 8.79062	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2742	 0.860	50.936	34.165	         	 0.770	 3.517	 5.019	31.327	-4.16e-13	 8.79043	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2752	 0.860	50.936	34.164	         	 0.770	 3.517	 5.019	31.327	-4.15e-13	 8.79024	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2762	 0.860	50.936	34.164	         	 0.770	 3.517	 5.019	31.327	-4.15e-13	 8.79004	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2772	 0.860	50.936	34.163	         	 0.770	 3.517	 5.019	31.327	-4.15e-13	 8.78985	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2782	 0.861	50.936	34.163	         	 0.770	 3.517	 5.019	31.327	-4.15e-13	 8.78966	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2792	 0.861	50.936	34.162	         	 0.770	 3.517	 5.019	31.327	-4.14e-13	 8.78946	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2802	 0.861	50.936	34.162	         	 0.770	 3.517	 5.019	31.327	-4.14e-13	 8.78927	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2812	 0.861	50.936	34.161	         	 0.770	 3.517	 5.019	31.327	-4.14e-13	 8.78907	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2822	 0.862	50.937	34.161	         	 0.770	 3.517	 5.019	31.327	-4.13e-13	 8.78888	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2832	 0.862	50.937	34.161	         	 0.770	 3.517	 5.019	31.327	-4.13e-13	 8.78868	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2842	 0.862	50.937	34.160	         	 0.770	 3.517	 5.019	31.327	-4.13e-13	 8.78849	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2852	 0.862	50.937	34.160	         	 0.770	 3.517	 5.019	31.327	-4.13e-13	 8.78829	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2862	 0.863	50.937	34.159	         	 0.770	 3.517	 5.019	31.327	-4.12e-13	 8.78810	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2872	 0.863	50.937	34.159	         	 0.770	 3.517	 5.019	31.327	-4.12e-13	 8.78790	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2882	 0.863	50.937	34.158	         	 0.770	 3.517	 5.019	31.327	-4.12e-13	 8.78771	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2892	 0.863	50.937	34.158	         	 0.770	 3.517	 5.019	31.327	-4.11e-13	 8.78751	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2902	 0.864	50.937	34.157	         	 0.770	 3.517	 5.019	31.327	-4.11e-13	 8.78731	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2912	 0.864	50.937	34.157	         	 0.770	 3.517	 5.019	31.327	-4.11e-13	 8.78712	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2922	 0.864	50.937	34.157	         	 0.770	 3.517	 5.019	31.327	-4.10e-13	 8.78692	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2932	 0.864	50.937	34.156	         	 0.770	 3.517	 5.019	31.327	-4.10e-13	 8.78672	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2942	 0.865	50.937	34.156	         	 0.770	 3.517	 5.019	31.327	-4.10e-13	 8.78653	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2952	 0.865	50.937	34.155	         	 0.770	 3.517	 5.019	31.327	-4.09e-13	 8.78633	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2962	 0.865	50.937	34.155	         	 0.770	 3.517	 5.019	31.327	-4.09e-13	 8.78613	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2972	 0.865	50.937	34.154	         	 0.770	 3.517	 5.019	31.327	-4.09e-13	 8.78593	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2982	 0.866	50.938	34.154	         	 0.770	 3.517	 5.019	31.327	-4.09e-13	 8.78573	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2992	 0.866	50.938	34.153	         	 0.770	 3.517	 5.019	31.327	-4.08e-13	 8.78553	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3002	 0.866	50.938	34.153	         	 0.770	 3.517	 5.019	31.327	-4.08e-13	 8.78534	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3012	 0.866	50.938	34.153	         	 0.770	 3.517	 5.019	31.327	-4.08e-13	 8.78514	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3022	 0.867	50.938	34.152	         	 0.770	 3.517	 5.019	31.327	-4.07e-13	 8.78494	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3032	 0.867	50.938	34.152	         	 0.770	 3.517	 5.019	31.327	-4.07e-13	 8.78474	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3042	 0.867	50.938	34.151	         	 0.770	 3.517	 5.019	31.327	-4.07e-13	 8.78454	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3052	 0.867	50.938	34.151	         	 0.770	 3.517	 5.019	31.327	-4.07e-13	 8.78434	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3062	 0.868	50.938	34.150	         	 0.770	 3.517	 5.019	31.327	-4.06e-13	 8.78414	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3072	 0.868	50.938	34.150	         	 0.770	 3.517	 5.019	31.327	-4.06e-13	 8.78394	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3082	 0.868	50.938	34.150	         	 0.770	 3.517	 5.019	31.327	-4.06e-13	 8.78374	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3092	 0.868	50.938	34.149	         	 0.770	 3.517	 5.019	31.327	-4.05e-13	 8.78354	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3102	 0.869	50.938	34.149	         	 0.770	 3.517	 5.019	31.327	-4.05e-13	 8.78333	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3112	 0.869	50.938	34.148	         	 0.770	 3.517	 5.019	31.327	-4.05e-13	 8.78313	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.3122	 0.869	50.938	34.148	         	 0.770	 3.517	 5.019	31.327	-4.05e-13	 8.78293	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
