# Porb (d) / Porb_err (d) / Psh (d) / Psh (d)
0.0717 0.0002 0.074264 0.000009 #NN Cam/NSV 1485 (2009,K10,B,Q=A) # Porb from K09
0.0561 0.0002 0.056607 0.000016 #V592 Her (2010,K10,B,Q=B) # Porb from K10
0.0810564 0.0000002 0.085342 0.000047 #V1032 Oph (2010,K10,B,Q=C)
0.0686 0.0002 0.070358 0.000040 #V368 Peg (2009,K10,B,Q=B) # Porb from Ritter Kolb 2003
0.05620 0.00004 0.057136 0.000023 #1RXS J0532/V391 Cam (2009,K10,B,Q=A) # Porb from Kapusta 2006
0.0683 0.0008 0.070782 0.000083 #RX J1715 (2009,K10,C,Q=C) # Porb from Pretorius 2007
#0.059073543 0.000000002 0.060364 0.000050 #SDSS J0903 (2010,K10,B,Q=B)
0.0587356812 0.0000000020 0.060330 0.000029 #OV Dra/SDSS J1250 (2008,K10,B,Q=C)
#0.05890961 0.00000002 0.060463 0.000013 #SDSS J1502 (2009,K10,B,Q=B)
0.05687 0.00001 0.057820 0.000019 #SDSS J1610 (2009,K10,B,Q=B) # Porb from K10
0.09111 0.00015 0.096054 0.000047 #SDSS J162520 (2010,K10,B,Q=B) # Porb from Olech 2011
0.067391 0.00013 0.069167 0.000033 #SDSS J1637/V2690 Oph (2004,K10,C,Q=C) # Porb from Southworth 2008
0.060597 0.000002 0.061657 0.000024 #SDSS J2048 (2009,K10,B,Q=C) # Porb from Woudt 2010
0.045301 0.000010 0.045440 0.000028 #OT J1122/CSS100603 (2010,K10,B,Q=B) # Porb from Breedt 2012
0.05909 0.00001 0.060236 0.000040 #OT J1044/CSS100217 (2010,K10,C,Q=B) # Porb from K10
0.06322 0.00008 0.064615 0.000012 #OT J1440/CSS090530 (2009,K10,B,Q=B) # Porb from Boyd 2010


# Kato 2012
0.06954 0.00021 0.072221 0.000009 #V1504 Cyg (2009,K12,B,Q=A) # Porb from Coyne 2012
0.087904 0.000003 0.091583 0.000009 #V344 Lyr (2009,K12,B,Q=A) # Porb from Wood 2011
0.09451001 0.00000004 0.0985 0.0006 #1RXS J0038 (2010,K12,B,Q=C) # Porb from Pavlenko 2016
0.0590048 0.0000002 0.059630 0.000016 #EZ Lyn/SDSS J0804 (2010,K12,B,Q=A) # Porb from K09b
0.06630354 0.00000005 0.068110 0.000016 #SDSS J0932 (2011,K12,C,Q=B) # Porb from Shears 2012
#0.062959041 0.000000002 0.064604 0.000029 #SDSS J1227 (2007,K12,B,Q=B)
